Timestamp,Symbol,Expiration,Strike,Side,Edge,Urgency,Alert_Msg
2025-11-15 15:48:47,SPX,2025-12-19,7000.0,PUT,6.9%,1.00,[red]🔥 GOLDEN PUT:[/] $7000 [2025-12-19 | 34d] (SPY ~698.3) Edge:+6.9%
2025-11-15 15:48:47,SPX,2025-12-19,6000.0,PUT,3.4%,0.61,[red]🔥 GOLDEN PUT:[/] $6000 [2025-12-19 | 34d] (SPY ~598.3) Edge:+3.4%
2025-11-15 15:48:47,SPX,2025-11-21,6700.0,PUT,14.2%,0.53,[red]🔥 GOLDEN PUT:[/] $6700 [2025-11-21 | 6d] (SPY ~668.3) Edge:+14.2%
2025-11-15 15:48:47,SPX,2025-12-19,6705.0,PUT,7.3%,0.59,[red]🔥 GOLDEN PUT:[/] $6705 [2025-12-19 | 34d] (SPY ~668.8) Edge:+7.3%
2025-11-15 15:48:47,SPX,2025-12-19,6740.0,PUT,6.7%,0.57,[red]🔥 GOLDEN PUT:[/] $6740 [2025-12-19 | 34d] (SPY ~672.3) Edge:+6.7%
2025-11-15 15:48:47,SPX,2025-12-19,6525.0,PUT,8.0%,0.95,[red]🔥 GOLDEN PUT:[/] $6525 [2025-12-19 | 34d] (SPY ~650.8) Edge:+8.0%
2025-11-15 15:48:47,SPX,2025-12-19,6685.0,PUT,13.8%,0.95,[red]🔥 GOLDEN PUT:[/] $6685 [2025-12-19 | 34d] (SPY ~666.8) Edge:+13.8%
2025-11-15 15:48:47,SPX,2025-12-19,6350.0,PUT,2.8%,0.59,[red]🔥 GOLDEN PUT:[/] $6350 [2025-12-19 | 34d] (SPY ~633.3) Edge:+2.8%
2025-11-15 15:48:47,SPX,2025-12-19,6745.0,PUT,9.7%,0.93,[red]🔥 GOLDEN PUT:[/] $6745 [2025-12-19 | 34d] (SPY ~672.8) Edge:+9.7%
2025-11-15 15:48:47,SPX,2025-12-19,6695.0,CALL,13.2%,0.59,[green]🔥 GOLDEN CALL:[/] $6695 [2025-12-19 | 34d] (SPY ~667.8) Edge:+13.2%
2025-11-15 15:48:47,SPX,2025-12-19,7050.0,CALL,4.4%,0.59,[green]🔥 GOLDEN CALL:[/] $7050 [2025-12-19 | 34d] (SPY ~703.3) Edge:+4.4%
2025-11-15 15:48:47,SPX,2025-12-19,6730.0,PUT,8.1%,0.55,[red]🔥 GOLDEN PUT:[/] $6730 [2025-12-19 | 34d] (SPY ~671.3) Edge:+8.1%
2025-11-15 15:48:47,SPX,2025-11-21,6200.0,PUT,10.2%,0.92,[red]🔥 GOLDEN PUT:[/] $6200 [2025-11-21 | 6d] (SPY ~618.3) Edge:+10.2%
2025-11-15 15:48:47,SPX,2025-11-21,6570.0,PUT,20.7%,0.95,[red]🔥 GOLDEN PUT:[/] $6570 [2025-11-21 | 6d] (SPY ~655.3) Edge:+20.7%
2025-11-15 15:48:47,SPX,2025-11-21,6725.0,PUT,16.3%,0.70,[red]🔥 GOLDEN PUT:[/] $6725 [2025-11-21 | 6d] (SPY ~670.8) Edge:+16.3%
2025-11-15 15:48:47,SPX,2025-11-28,6720.0,PUT,4.3%,0.24,[red]🔥 GOLDEN PUT:[/] $6720 [2025-11-28 | 13d] (SPY ~670.3) Edge:+4.3%
2025-11-15 15:48:47,SPX,2025-11-24,6835.0,CALL,1.5%,0.94,[green]🔥 GOLDEN CALL:[/] $6835 [2025-11-24 | 9d] (SPY ~681.8) Edge:+1.5%
2025-11-15 15:48:47,SPX,2025-12-09,6500.0,PUT,18.2%,0.99,[red]🔥 GOLDEN PUT:[/] $6500 [2025-12-09 | 24d] (SPY ~648.3) Edge:+18.2%
2025-11-15 15:48:47,SPX,2025-11-17,6790.0,PUT,12.0%,0.23,[red]🔥 GOLDEN PUT:[/] $6790 [2025-11-17 | 2d] (SPY ~677.3) Edge:+12.0%
2025-11-15 15:48:47,SPX,2025-12-09,6650.0,PUT,-13.4%,1.00,[red]🔥 GOLDEN PUT:[/] $6650 [2025-12-09 | 24d] (SPY ~663.3) Edge:-13.4%
2025-11-15 15:48:47,SPX,2025-12-12,6750.0,CALL,-3.2%,0.58,[green]🔥 GOLDEN CALL:[/] $6750 [2025-12-12 | 27d] (SPY ~673.3) Edge:-3.2%
2025-11-15 15:48:47,SPX,2025-12-01,6750.0,PUT,2.6%,0.32,[red]🔥 GOLDEN PUT:[/] $6750 [2025-12-01 | 16d] (SPY ~673.3) Edge:+2.6%
2025-11-15 15:55:35,SPX,2025-12-19,7000.0,PUT,6.9%,1.00,[red]🔥 GOLDEN PUT (BOT):[/] $7000 [2025-12-19 | 34d] (SPY ~698.3) Edge:+6.9%
2025-11-15 15:55:35,SPX,2025-12-19,6000.0,PUT,3.4%,0.61,[red]🔥 GOLDEN PUT (BOT):[/] $6000 [2025-12-19 | 34d] (SPY ~598.3) Edge:+3.4%
2025-11-15 15:55:35,SPX,2025-11-21,6700.0,PUT,14.2%,0.53,[red]🔥 GOLDEN PUT (BOT):[/] $6700 [2025-11-21 | 6d] (SPY ~668.3) Edge:+14.2%
2025-11-15 15:55:35,SPX,2025-12-19,6100.0,PUT,5.7%,-0.56,[green]🔥 GOLDEN PUT (SOLD):[/] $6100 [2025-12-19 | 34d] (SPY ~608.3) Edge:+5.7%
2025-11-15 15:55:35,SPX,2025-12-19,6705.0,PUT,7.3%,0.59,[red]🔥 GOLDEN PUT (BOT):[/] $6705 [2025-12-19 | 34d] (SPY ~668.8) Edge:+7.3%
2025-11-15 15:55:35,SPX,2025-12-19,6705.0,CALL,3.3%,-0.65,[red]🔥 GOLDEN CALL (SOLD):[/] $6705 [2025-12-19 | 34d] (SPY ~668.8) Edge:+3.3%
2025-11-15 15:55:35,SPX,2025-12-19,6740.0,PUT,6.7%,0.57,[red]🔥 GOLDEN PUT (BOT):[/] $6740 [2025-12-19 | 34d] (SPY ~672.3) Edge:+6.7%
2025-11-15 15:55:35,SPX,2025-12-19,6525.0,PUT,8.0%,0.95,[red]🔥 GOLDEN PUT (BOT):[/] $6525 [2025-12-19 | 34d] (SPY ~650.8) Edge:+8.0%
2025-11-15 15:55:35,SPX,2025-12-19,6685.0,PUT,13.8%,0.95,[red]🔥 GOLDEN PUT (BOT):[/] $6685 [2025-12-19 | 34d] (SPY ~666.8) Edge:+13.8%
2025-11-15 15:55:35,SPX,2025-12-19,6685.0,CALL,15.3%,-0.98,[red]🔥 GOLDEN CALL (SOLD):[/] $6685 [2025-12-19 | 34d] (SPY ~666.8) Edge:+15.3%
2025-11-15 15:55:35,SPX,2025-12-19,6795.0,PUT,10.0%,-0.66,[green]🔥 GOLDEN PUT (SOLD):[/] $6795 [2025-12-19 | 34d] (SPY ~677.8) Edge:+10.0%
2025-11-15 15:55:35,SPX,2025-12-19,6350.0,PUT,2.8%,0.59,[red]🔥 GOLDEN PUT (BOT):[/] $6350 [2025-12-19 | 34d] (SPY ~633.3) Edge:+2.8%
2025-11-15 15:55:35,SPX,2025-12-19,6745.0,PUT,9.7%,0.93,[red]🔥 GOLDEN PUT (BOT):[/] $6745 [2025-12-19 | 34d] (SPY ~672.8) Edge:+9.7%
2025-11-15 15:55:35,SPX,2025-12-19,6695.0,PUT,11.7%,-0.58,[green]🔥 GOLDEN PUT (SOLD):[/] $6695 [2025-12-19 | 34d] (SPY ~667.8) Edge:+11.7%
