symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,vega,theta,prem
SPX,2026-03-06,1,2200,6897.45,CALL,1,3,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,456964.99999999994
SPX,2026-03-06,1,2200,6897.45,PUT,2,1,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,5.0
SPX,2026-03-06,1,2400,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,2400,6897.45,PUT,0,11,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,2600,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,2600,6897.45,PUT,0,17,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,2800,6897.45,CALL,1,1,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,397070.0
SPX,2026-03-06,1,2800,6897.45,PUT,0,80,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,3000,6897.45,CALL,1,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,377070.0
SPX,2026-03-06,1,3000,6897.45,PUT,0,40,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,3200,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,3200,6897.45,PUT,0,381,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,3400,6897.45,CALL,0,5,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,3400,6897.45,PUT,0,387,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,3600,6897.45,CALL,0,3,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,3600,6897.45,PUT,0,139,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,3800,6897.45,CALL,0,1,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,3800,6897.45,PUT,0,328,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,4000,6897.45,CALL,1,1,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,277135.00000000006
SPX,2026-03-06,1,4000,6897.45,PUT,0,10429,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,4200,6897.45,CALL,0,1,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,4200,6897.45,PUT,0,2262,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,4400,6897.45,CALL,1,2,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,237144.99999999997
SPX,2026-03-06,1,4400,6897.45,PUT,0,6176,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,4600,6897.45,CALL,4,5,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,868279.9999999999
SPX,2026-03-06,1,4600,6897.45,PUT,0,6350,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,4800,6897.45,CALL,2,3,0.9999999999999922,8.167786988960347e-13,0.0019999953017066693,-0.0,394100.0
SPX,2026-03-06,1,4800,6897.45,PUT,0,13591,-1.0,8.167786988960347e-13,0.0019999953017066693,0.0,0.0
SPX,2026-03-06,1,5000,6897.45,CALL,8,864,0.9999999999999922,8.167786988960347e-13,0.0019999953017066693,-0.0,1416320.0
SPX,2026-03-06,1,5000,6897.45,PUT,0,3540,-1.0,8.167786988960347e-13,0.0019999953017066693,0.0,0.0
SPX,2026-03-06,1,5100,6897.45,CALL,0,3,0.9999999999999922,8.167786988960347e-13,0.0019999953017066693,-0.0,0.0
SPX,2026-03-06,1,5100,6897.45,PUT,8,1002,-1.0,8.167786988960347e-13,0.0019999953017066693,0.0,20.0
SPX,2026-03-06,1,5200,6897.45,CALL,0,1,0.9999999999999922,8.167786988960347e-13,0.0019999953017066693,-0.0,0.0
SPX,2026-03-06,1,5200,6897.45,PUT,2,3874,-1.0,8.167786988960347e-13,0.0019999953017066693,0.0,5.0
SPX,2026-03-06,1,5300,6897.45,CALL,0,9,0.9999999999999922,8.167786988960347e-13,0.0019999953017066693,-0.0,0.0
SPX,2026-03-06,1,5300,6897.45,PUT,100,15436,-1.0,8.167786988960347e-13,0.0019999953017066693,0.0,250.0
SPX,2026-03-06,1,5400,6897.45,CALL,2,24,0.9999999999999922,8.167786988960347e-13,0.0019999953017066693,-0.0,274240.0
SPX,2026-03-06,1,5400,6897.45,PUT,30,5210,-1.0,8.167786988960347e-13,0.0019999953017066693,0.0,75.0
SPX,2026-03-06,1,5450,6897.45,CALL,0,1,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,5450,6897.45,PUT,0,1452,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,5475,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,5475,6897.45,PUT,0,463,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,5500,6897.45,CALL,1,6,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,127115.00000000001
SPX,2026-03-06,1,5500,6897.45,PUT,1,5894,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,2.5
SPX,2026-03-06,1,5525,6897.45,CALL,1,1,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,124444.99999999999
SPX,2026-03-06,1,5525,6897.45,PUT,0,354,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,5550,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,5550,6897.45,PUT,1,1524,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,2.5
SPX,2026-03-06,1,5575,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,5575,6897.45,PUT,0,1790,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,5600,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,5600,6897.45,PUT,1,46726,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,2.5
SPX,2026-03-06,1,5625,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,5625,6897.45,PUT,0,291,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,5650,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,5650,6897.45,PUT,0,11004,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,5675,6897.45,CALL,0,0,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,0.0
SPX,2026-03-06,1,5675,6897.45,PUT,0,735,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,0.0
SPX,2026-03-06,1,5700,6897.45,CALL,1,1,0.9999999999999922,8.167786988960347e-13,0.0019999955254349235,-0.0,107145.0
SPX,2026-03-06,1,5700,6897.45,PUT,8,41720,-1.0,8.167786988960347e-13,0.0019999955254349235,0.0,20.0
