symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,prem
SPY,,1,500,687.47,CALL,35,35,0,0,0.0
SPY,,1,500,687.47,PUT,0,108,0,0,0.0
SPY,,1,505,687.47,CALL,0,0,0,0,0.0
SPY,,1,505,687.47,PUT,0,171,0,0,0.0
SPY,,1,510,687.47,CALL,0,7,0,0,0.0
SPY,,1,510,687.47,PUT,0,127,0,0,0.0
SPY,,1,515,687.47,CALL,0,0,0,0,0.0
SPY,,1,515,687.47,PUT,0,20,0,0,0.0
SPY,,1,520,687.47,CALL,0,5,0,0,0.0
SPY,,1,520,687.47,PUT,0,294,0,0,0.0
SPY,,1,525,687.47,CALL,0,0,0,0,0.0
SPY,,1,525,687.47,PUT,0,271,0,0,0.0
SPY,,1,530,687.47,CALL,0,0,0,0,0.0
SPY,,1,530,687.47,PUT,0,23,0,0,0.0
SPY,,1,535,687.47,CALL,0,0,0,0,0.0
SPY,,1,535,687.47,PUT,0,96,0,0,0.0
SPY,,1,540,687.47,CALL,0,0,0,0,0.0
SPY,,1,540,687.47,PUT,0,606,0,0,0.0
SPY,,1,545,687.47,CALL,0,0,0,0,0.0
SPY,,1,545,687.47,PUT,0,43,0,0,0.0
SPY,,1,550,687.47,CALL,0,0,0,0,0.0
SPY,,1,550,687.47,PUT,0,300,0,0,0.0
SPY,,1,555,687.47,CALL,1,1,0,0,0.0
SPY,,1,555,687.47,PUT,0,78,0,0,0.0
SPY,,1,560,687.47,CALL,1,1,0,0,0.0
SPY,,1,560,687.47,PUT,0,464,0,0,0.0
SPY,,1,565,687.47,CALL,0,0,0,0,0.0
SPY,,1,565,687.47,PUT,0,719,0,0,0.0
SPY,,1,570,687.47,CALL,0,0,0,0,0.0
SPY,,1,570,687.47,PUT,0,954,0,0,0.0
SPY,,1,575,687.47,CALL,0,0,0,0,0.0
SPY,,1,575,687.47,PUT,0,310,0,0,0.0
SPY,,1,580,687.47,CALL,0,0,0,0,0.0
SPY,,1,580,687.47,PUT,0,194,0,0,0.0
SPY,,1,585,687.47,CALL,0,0,0,0,0.0
SPY,,1,585,687.47,PUT,0,605,0,0,0.0
SPY,,1,590,687.47,CALL,0,0,0,0,0.0
SPY,,1,590,687.47,PUT,0,672,0,0,0.0
SPY,,1,595,687.47,CALL,0,1,0,0,0.0
SPY,,1,595,687.47,PUT,0,671,0,0,0.0
SPY,,1,600,687.47,CALL,20,15,0,0,0.0
SPY,,1,600,687.47,PUT,1,615,0,0,0.0
SPY,,1,605,687.47,CALL,0,5,0,0,0.0
SPY,,1,605,687.47,PUT,0,960,0,0,0.0
SPY,,1,610,687.47,CALL,0,2,0,0,0.0
SPY,,1,610,687.47,PUT,0,247,0,0,0.0
SPY,,1,615,687.47,CALL,35,1,0,0,0.0
SPY,,1,615,687.47,PUT,1,964,0,0,0.0
SPY,,1,620,687.47,CALL,3,0,0,0,0.0
SPY,,1,620,687.47,PUT,0,2922,0,0,0.0
SPY,,1,625,687.47,CALL,56,0,0,0,0.0
SPY,,1,625,687.47,PUT,91,1384,0,0,0.0
SPY,,1,630,687.47,CALL,25,20,0,0,0.0
SPY,,1,630,687.47,PUT,1,906,0,0,0.0
SPY,,1,635,687.47,CALL,7,0,0,0,0.0
SPY,,1,635,687.47,PUT,0,1666,0,0,0.0
SPY,,1,640,687.47,CALL,3,7,0,0,0.0
SPY,,1,640,687.47,PUT,0,3553,0,0,0.0
SPY,,1,645,687.47,CALL,0,0,0,0,0.0
SPY,,1,645,687.47,PUT,1,2691,0,0,0.0
SPY,,1,650,687.47,CALL,23,25,0,0,0.0
SPY,,1,650,687.47,PUT,19,1666,0,0,0.0
SPY,,1,651,687.47,CALL,1,6,0,0,0.0
SPY,,1,651,687.47,PUT,0,1335,0,0,0.0
SPY,,1,652,687.47,CALL,5,15,0,0,0.0
