symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,vega,theta,prem
SPY,2026-01-05,1,500,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,500,683.17,PUT,0,106,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,505,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,505,683.17,PUT,0,0,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,510,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,510,683.17,PUT,0,0,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,515,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,515,683.17,PUT,0,20,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,520,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,520,683.17,PUT,0,105,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,525,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,525,683.17,PUT,0,169,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,530,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,530,683.17,PUT,0,53,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,535,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,535,683.17,PUT,0,150,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,540,683.17,CALL,0,1,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,540,683.17,PUT,0,180,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,545,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,545,683.17,PUT,0,349,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,550,683.17,CALL,0,1,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,550,683.17,PUT,0,3395,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,555,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,555,683.17,PUT,0,2130,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,560,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,0.0
SPY,2026-01-05,1,560,683.17,PUT,0,525,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,565,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,0.0
SPY,2026-01-05,1,565,683.17,PUT,0,0,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,570,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,0.0
SPY,2026-01-05,1,570,683.17,PUT,0,2,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,575,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,0.0
SPY,2026-01-05,1,575,683.17,PUT,0,3,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,580,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,0.0
SPY,2026-01-05,1,580,683.17,PUT,0,1177,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,585,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,0.0
SPY,2026-01-05,1,585,683.17,PUT,0,1335,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,590,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,0.0
SPY,2026-01-05,1,590,683.17,PUT,0,731,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,595,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,0.0
SPY,2026-01-05,1,595,683.17,PUT,0,507,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,600,683.17,CALL,10,0,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,87990.0
SPY,2026-01-05,1,600,683.17,PUT,0,45,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.0
SPY,2026-01-05,1,605,683.17,CALL,13,3,1.0,1.648096101599211e-10,0.001999998514412308,-0.0,107886.99999999999
SPY,2026-01-05,1,605,683.17,PUT,1,183,0.0,1.648096101599211e-10,0.001999998514412308,0.0,0.5
SPY,2026-01-05,1,610,683.17,CALL,0,1,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,610,683.17,PUT,0,40,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,615,683.17,CALL,1,36,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,7298.999999999999
SPY,2026-01-05,1,615,683.17,PUT,0,232,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
SPY,2026-01-05,1,620,683.17,CALL,0,0,1.0,1.648096101599211e-10,0.0019999984664901245,-0.0,0.0
SPY,2026-01-05,1,620,683.17,PUT,0,467,0.0,1.648096101599211e-10,0.0019999984664901245,0.0,0.0
