symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,vega,theta,prem
SPX,2026-02-06,1,2400,684.48,CALL,0,15,0.9999999999994197,-1.0480550918871653e-12,0.0019999571960646082,-0.0,0.0
SPX,2026-02-06,1,2400,684.48,PUT,0,22,-1.0,-1.0480550918871653e-12,0.0019999571960646082,0.0,0.0
SPX,2026-02-06,1,2600,684.48,CALL,0,0,0.9999999999990499,-1.642797195937703e-12,0.0019999552504311813,-0.0,0.0
SPX,2026-02-06,1,2600,684.48,PUT,0,0,-1.0,-1.642797195937703e-12,0.0019999552504311813,0.0,0.0
SPX,2026-02-06,1,2800,684.48,CALL,0,3,0.9999999999990834,-1.6555980102819921e-12,0.0019999552504311813,-0.0,0.0
SPX,2026-02-06,1,2800,684.48,PUT,0,0,-1.0,-1.6555980102819921e-12,0.0019999552504311813,0.0,0.0
SPX,2026-02-06,1,3000,684.48,CALL,0,1,0.9999999999993725,-1.0608559062314543e-12,0.0019999581688813217,-0.0,0.0
SPX,2026-02-06,1,3000,684.48,PUT,0,51,-1.0,-1.0608559062314543e-12,0.0019999581688813217,0.0,0.0
SPX,2026-02-06,1,3200,684.48,CALL,0,0,0.9999999999994127,-1.0608559062314543e-12,0.0019999601145147487,-0.0,0.0
SPX,2026-02-06,1,3200,684.48,PUT,0,50,-1.0,-1.0608559062314543e-12,0.0019999601145147487,0.0,0.0
SPX,2026-02-06,1,3400,684.48,CALL,0,4,0.999999999999419,-1.0493408970054613e-12,0.001999959141698035,-0.0,0.0
SPX,2026-02-06,1,3400,684.48,PUT,0,140,-1.0,-1.0493408970054613e-12,0.001999959141698035,0.0,0.0
SPX,2026-02-06,1,3600,684.48,CALL,0,0,0.9999999999989186,-1.9532857513935497e-12,0.0029999630329648882,-0.0,0.0
SPX,2026-02-06,1,3600,684.48,PUT,0,65,-1.0,-1.9532857513935497e-12,0.0029999630329648882,0.0,0.0
SPX,2026-02-06,1,3800,684.48,CALL,0,0,0.9999999999995212,-7.44605083969326e-13,0.0019999620601481756,-0.0,0.0
SPX,2026-02-06,1,3800,684.48,PUT,0,249,-1.0,-7.44605083969326e-13,0.0019999620601481756,0.0,0.0
SPX,2026-02-06,1,4000,684.48,CALL,0,130,0.9999999999992542,-1.347028638117019e-12,0.0019999620601481756,-0.0,0.0
SPX,2026-02-06,1,4000,684.48,PUT,0,127,-1.0,-1.347028638117019e-12,0.0019999620601481756,0.0,0.0
SPX,2026-02-06,1,4200,684.48,CALL,0,0,0.9999999999995838,-7.516436315073335e-13,0.001999961087331462,-0.0,0.0
SPX,2026-02-06,1,4200,684.48,PUT,0,523,-1.0,-7.516436315073335e-13,0.001999961087331462,0.0,0.0
SPX,2026-02-06,1,4400,684.48,CALL,0,2,0.9999999999994159,-1.0550936394251728e-12,0.001999964978598316,-0.0,0.0
SPX,2026-02-06,1,4400,684.48,PUT,0,933,-1.0,-1.0550936394251728e-12,0.001999964978598316,0.0,0.0
SPX,2026-02-06,1,4600,684.48,CALL,0,4,0.9999999999990895,-1.6447163792285768e-12,0.001999965951415029,-0.0,0.0
SPX,2026-02-06,1,4600,684.48,PUT,0,1026,-1.0,-1.6447163792285768e-12,0.001999965951415029,0.0,0.0
SPX,2026-02-06,1,4800,684.48,CALL,0,1,0.9999999999991437,-1.4974773613442127e-12,0.00199997032909024,-0.0,0.0
SPX,2026-02-06,1,4800,684.48,PUT,0,8499,-1.0,-1.4974773613442127e-12,0.00199997032909024,0.0,0.0
SPX,2026-02-06,1,5000,684.48,CALL,2,813,0.9999999999990866,-1.6498357434757106e-12,0.001999970815498597,-0.0,373580.0
SPX,2026-02-06,1,5000,684.48,PUT,0,2271,-1.0,-1.6498357434757106e-12,0.001999970815498597,0.0,0.0
SPX,2026-02-06,1,5100,684.48,CALL,0,2,0.9999999999995014,-9.004970264496825e-13,0.00199997032909024,-0.0,0.0
SPX,2026-02-06,1,5100,684.48,PUT,0,1436,-1.0,-9.004970264496825e-13,0.00199997032909024,0.0,0.0
SPX,2026-02-06,1,5200,684.48,CALL,0,0,0.999999999999086,-1.6492023653031326e-12,0.00199997178831531,-0.0,0.0
SPX,2026-02-06,1,5200,684.48,PUT,0,2041,-1.0,-1.6492023653031326e-12,0.00199997178831531,0.0,0.0
SPX,2026-02-06,1,5300,684.48,CALL,0,0,0.9999999999991703,-1.4987536420759386e-12,0.00199997032909024,-0.0,0.0
SPX,2026-02-06,1,5300,684.48,PUT,0,2436,-1.0,-1.4987536420759386e-12,0.00199997032909024,0.0,0.0
SPX,2026-02-06,1,5400,684.48,CALL,1,4,0.9999999999991703,-1.4987536420759386e-12,0.00199997178831531,-0.0,147155.0
SPX,2026-02-06,1,5400,684.48,PUT,0,9889,-1.0,-1.4987536420759386e-12,0.00199997178831531,0.0,0.0
SPX,2026-02-06,1,5450,684.48,CALL,0,1,0.9999999999993385,-1.1946702559855215e-12,0.00199997032909024,-0.0,0.0
SPX,2026-02-06,1,5450,684.48,PUT,0,557,-1.0,-1.1946702559855215e-12,0.00199997032909024,0.0,0.0
SPX,2026-02-06,1,5500,684.48,CALL,1,23,0.9999999999991667,-1.5032396281504946e-12,0.0019999727611320238,-0.0,137150.0
SPX,2026-02-06,1,5500,684.48,PUT,1,4558,-1.0,-1.5032396281504946e-12,0.0019999727611320238,0.0,2.5
SPX,2026-02-06,1,5525,684.48,CALL,0,0,0.9999999999992405,-1.346385735557871e-12,0.001999972274723667,-0.0,0.0
SPX,2026-02-06,1,5525,684.48,PUT,0,0,-1.0,-1.346385735557871e-12,0.001999972274723667,0.0,0.0
SPX,2026-02-06,1,5550,684.48,CALL,0,0,0.9999999999991678,-1.5032396281504946e-12,0.001999972274723667,-0.0,0.0
SPX,2026-02-06,1,5550,684.48,PUT,0,1883,-1.0,-1.5032396281504946e-12,0.001999972274723667,0.0,0.0
SPX,2026-02-06,1,5575,684.48,CALL,0,0,0.999999999999251,-1.3527909049233007e-12,0.001999973733948737,-0.0,0.0
SPX,2026-02-06,1,5575,684.48,PUT,0,26,-1.0,-1.3527909049233007e-12,0.001999973733948737,0.0,0.0
SPX,2026-02-06,1,5600,684.48,CALL,0,1,0.9999999999992518,-1.3515146241915752e-12,0.001999972274723667,-0.0,0.0
SPX,2026-02-06,1,5600,684.48,PUT,0,42282,-1.0,-1.3515146241915752e-12,0.001999972274723667,0.0,0.0
SPX,2026-02-06,1,5625,684.48,CALL,0,0,0.9999999999990729,-1.6492023653031326e-12,0.001999973733948737,-0.0,0.0
SPX,2026-02-06,1,5625,684.48,PUT,0,202,-1.0,-1.6492023653031326e-12,0.001999973733948737,0.0,0.0
SPX,2026-02-06,1,5650,684.48,CALL,0,0,0.9999999999991694,-1.5003584947473537e-12,0.001999973733948737,-0.0,0.0
SPX,2026-02-06,1,5650,684.48,PUT,0,1863,-1.0,-1.5003584947473537e-12,0.001999973733948737,0.0,0.0
SPX,2026-02-06,1,5675,684.48,CALL,0,0,0.9999999999992542,-1.347028638117019e-12,0.0019999742203570935,-0.0,0.0
SPX,2026-02-06,1,5675,684.48,PUT,0,653,-1.0,-1.347028638117019e-12,0.0019999742203570935,0.0,0.0
SPX,2026-02-06,1,5700,684.48,CALL,0,0,0.9999999999993341,-1.2010659009643808e-12,0.00199997324754038,-0.0,0.0
