symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,prem
SPY,,1,480,685.26,CALL,0,4,0,0,0.0
SPY,,1,480,685.26,PUT,0,585,0,0,0.0
SPY,,1,485,685.26,CALL,0,0,0,0,0.0
SPY,,1,485,685.26,PUT,0,785,0,0,0.0
SPY,,1,490,685.26,CALL,0,2,0,0,0.0
SPY,,1,490,685.26,PUT,0,36,0,0,0.0
SPY,,1,495,685.26,CALL,0,0,0,0,0.0
SPY,,1,495,685.26,PUT,0,245,0,0,0.0
SPY,,1,500,685.26,CALL,2,21,0,0,0.0
SPY,,1,500,685.26,PUT,0,6303,0,0,0.0
SPY,,1,505,685.26,CALL,2,2,0,0,0.0
SPY,,1,505,685.26,PUT,0,4923,0,0,0.0
SPY,,1,510,685.26,CALL,0,5,0,0,0.0
SPY,,1,510,685.26,PUT,0,237,0,0,0.0
SPY,,1,515,685.26,CALL,0,4,0,0,0.0
SPY,,1,515,685.26,PUT,0,376,0,0,0.0
SPY,,1,520,685.26,CALL,0,2,0,0,0.0
SPY,,1,520,685.26,PUT,0,428,0,0,0.0
SPY,,1,525,685.26,CALL,0,11,0,0,0.0
SPY,,1,525,685.26,PUT,0,611,0,0,0.0
SPY,,1,530,685.26,CALL,0,4,0,0,0.0
SPY,,1,530,685.26,PUT,0,376,0,0,0.0
SPY,,1,535,685.26,CALL,0,4,0,0,0.0
SPY,,1,535,685.26,PUT,0,3604,0,0,0.0
SPY,,1,540,685.26,CALL,0,3,0,0,0.0
SPY,,1,540,685.26,PUT,0,473,0,0,0.0
SPY,,1,545,685.26,CALL,0,3,0,0,0.0
SPY,,1,545,685.26,PUT,0,104295,0,0,0.0
SPY,,1,550,685.26,CALL,0,1,0,0,0.0
SPY,,1,550,685.26,PUT,0,1409,0,0,0.0
SPY,,1,555,685.26,CALL,0,44,0,0,0.0
SPY,,1,555,685.26,PUT,0,2367,0,0,0.0
SPY,,1,560,685.26,CALL,0,2,0,0,0.0
SPY,,1,560,685.26,PUT,0,868,0,0,0.0
SPY,,1,565,685.26,CALL,0,1,0,0,0.0
SPY,,1,565,685.26,PUT,0,1271,0,0,0.0
SPY,,1,570,685.26,CALL,20,21,0,0,0.0
SPY,,1,570,685.26,PUT,0,6976,0,0,0.0
SPY,,1,575,685.26,CALL,0,6,0,0,0.0
SPY,,1,575,685.26,PUT,0,1049,0,0,0.0
SPY,,1,580,685.26,CALL,0,20,0,0,0.0
SPY,,1,580,685.26,PUT,0,502,0,0,0.0
SPY,,1,585,685.26,CALL,0,12,0,0,0.0
SPY,,1,585,685.26,PUT,0,201173,0,0,0.0
SPY,,1,590,685.26,CALL,0,5,0,0,0.0
SPY,,1,590,685.26,PUT,0,2753,0,0,0.0
SPY,,1,595,685.26,CALL,0,4,0,0,0.0
SPY,,1,595,685.26,PUT,0,2056,0,0,0.0
SPY,,1,600,685.26,CALL,10,39,0,0,0.0
SPY,,1,600,685.26,PUT,0,3381,0,0,0.0
SPY,,1,605,685.26,CALL,1,5,0,0,0.0
SPY,,1,605,685.26,PUT,0,7774,0,0,0.0
SPY,,1,610,685.26,CALL,0,34,0,0,0.0
SPY,,1,610,685.26,PUT,0,2095,0,0,0.0
SPY,,1,615,685.26,CALL,0,42,0,0,0.0
SPY,,1,615,685.26,PUT,2,7885,0,0,0.0
SPY,,1,620,685.26,CALL,7,33,0,0,0.0
SPY,,1,620,685.26,PUT,0,5099,0,0,0.0
SPY,,1,625,685.26,CALL,0,12,0,0,0.0
SPY,,1,625,685.26,PUT,9,104117,0,0,0.0
SPY,,1,630,685.26,CALL,4,33,0,0,0.0
SPY,,1,630,685.26,PUT,37,5457,0,0,0.0
SPY,,1,635,685.26,CALL,0,41,0,0,0.0
SPY,,1,635,685.26,PUT,2,7276,0,0,0.0
SPY,,1,640,685.26,CALL,3,39,0,0,0.0
SPY,,1,640,685.26,PUT,40,11362,0,0,0.0
SPY,,1,641,685.26,CALL,1,0,0,0,0.0
SPY,,1,641,685.26,PUT,0,0,0,0,0.0
SPY,,1,642,685.26,CALL,0,0,0,0,0.0
SPY,,1,642,685.26,PUT,1,0,0,0,0.0
SPY,,1,643,685.26,CALL,0,0,0,0,0.0
SPY,,1,643,685.26,PUT,0,0,0,0,0.0
SPY,,1,644,685.26,CALL,0,0,0,0,0.0
SPY,,1,644,685.26,PUT,725,0,0,0,0.0
SPY,,1,645,685.26,CALL,114,170,0,0,0.0
SPY,,1,645,685.26,PUT,207,15682,0,0,0.0
SPY,,1,646,685.26,CALL,0,0,0,0,0.0
SPY,,1,646,685.26,PUT,1,0,0,0,0.0
SPY,,1,647,685.26,CALL,0,0,0,0,0.0
SPY,,1,647,685.26,PUT,0,0,0,0,0.0
SPY,,1,648,685.26,CALL,0,0,0,0,0.0
SPY,,1,648,685.26,PUT,0,0,0,0,0.0
SPY,,1,649,685.26,CALL,0,0,0,0,0.0
SPY,,1,649,685.26,PUT,0,0,0,0,0.0
SPY,,1,650,685.26,CALL,8,587,0,0,0.0
SPY,,1,650,685.26,PUT,293,22678,0,0,0.0
SPY,,1,651,685.26,CALL,0,0,0,0,0.0
SPY,,1,651,685.26,PUT,31,0,0,0,0.0
SPY,,1,652,685.26,CALL,0,0,0,0,0.0
SPY,,1,652,685.26,PUT,260,0,0,0,0.0
SPY,,1,653,685.26,CALL,0,4,0,0,0.0
SPY,,1,653,685.26,PUT,41,2022,0,0,0.0
SPY,,1,654,685.26,CALL,0,0,0,0,0.0
SPY,,1,654,685.26,PUT,177,2411,0,0,0.0
SPY,,1,655,685.26,CALL,2,58,0,0,0.0
SPY,,1,655,685.26,PUT,1317,59113,0,0,0.0
SPY,,1,656,685.26,CALL,0,15,0,0,0.0
SPY,,1,656,685.26,PUT,177,2020,0,0,0.0
SPY,,1,657,685.26,CALL,0,8,0,0,0.0
SPY,,1,657,685.26,PUT,755,1913,0,0,0.0
SPY,,1,658,685.26,CALL,12,55,0,0,0.0
SPY,,1,658,685.26,PUT,199,9920,0,0,0.0
SPY,,1,659,685.26,CALL,0,14,0,0,0.0
SPY,,1,659,685.26,PUT,869,8706,0,0,0.0
SPY,,1,660,685.26,CALL,8,112,0,0,0.0
SPY,,1,660,685.26,PUT,1430,51849,0,0,0.0
